k,N,D,Time(us)
0,1,2,30
0,50,2,27
0,100,2,29
0,200,2,22
0,400,2,21
0,800,2,21
0,1600,2,23
0,3200,2,33
0,6400,2,32
0,12800,2,33
1,1,2,69
1,50,2,272
1,100,2,383
1,200,2,522
1,400,2,663
1,800,2,712
1,1600,2,653
1,3200,2,1183
1,6400,2,1215
1,12800,2,1913
2,1,2,34
2,50,2,332
2,100,2,488
2,200,2,588
2,400,2,854
2,800,2,1109
2,1600,2,1969
2,3200,2,2234
2,6400,2,2216
2,12800,2,4378
3,1,2,32
3,50,2,527
3,100,2,680
3,200,2,825
3,400,2,1174
3,800,2,1729
3,1600,2,2785
3,3200,2,3750
3,6400,2,4713
3,12800,2,6427
4,1,2,32
4,50,2,525
4,100,2,769
4,200,2,1184
4,400,2,1756
4,800,2,2521
4,1600,2,3462
4,3200,2,4572
4,6400,2,6938
4,12800,2,10433
5,1,2,32
5,50,2,564
5,100,2,955
5,200,2,1409
5,400,2,1981
5,800,2,3084
5,1600,2,4119
5,3200,2,6460
5,6400,2,8945
5,12800,2,11829
6,1,2,34
6,50,2,613
6,100,2,1011
6,200,2,1423
6,400,2,2313
6,800,2,3156
6,1600,2,5339
6,3200,2,6720
6,6400,2,9778
6,12800,2,13926
7,1,2,32
7,50,2,663
7,100,2,1042
7,200,2,1576
7,400,2,2451
7,800,2,3820
7,1600,2,5657
7,3200,2,7944
7,6400,2,11189
7,12800,2,17357
8,1,2,35
8,50,2,695
8,100,2,1104
8,200,2,1815
8,400,2,2694
8,800,2,4172
8,1600,2,6126
8,3200,2,8987
8,6400,2,13636
8,12800,2,18500
9,1,2,34
9,50,2,716
9,100,2,1187
9,200,2,2046
9,400,2,3169
9,800,2,4805
9,1600,2,7887
9,3200,2,10954
9,6400,2,15191
9,12800,2,22788
10,1,2,37
10,50,2,784
10,100,2,1409
10,200,2,2126
10,400,2,3103
10,800,2,4560
10,1600,2,7082
10,3200,2,10659
10,6400,2,16243
10,12800,2,22618
