k,N,D,Time(us)
0,1,2,26
0,50,2,34
0,100,2,23
0,200,2,22
0,400,2,21
0,800,2,21
0,1600,2,34
0,3200,2,29
0,6400,2,35
0,12800,2,27
1,1,2,37
1,50,2,145
1,100,2,192
1,200,2,326
1,400,2,417
1,800,2,668
1,1600,2,1047
1,3200,2,1587
1,6400,2,2318
1,12800,2,3131
2,1,2,47
2,50,2,181
2,100,2,314
2,200,2,337
2,400,2,616
2,800,2,977
2,1600,2,1282
2,3200,2,1757
2,6400,2,2678
2,12800,2,3727
3,1,2,33
3,50,2,200
3,100,2,291
3,200,2,438
3,400,2,739
3,800,2,978
3,1600,2,1488
3,3200,2,2236
3,6400,2,3286
3,12800,2,4963
4,1,2,34
4,50,2,237
4,100,2,353
4,200,2,665
4,400,2,899
4,800,2,1345
4,1600,2,2104
4,3200,2,2777
4,6400,2,4292
4,12800,2,6275
5,1,2,33
5,50,2,263
5,100,2,400
5,200,2,610
5,400,2,969
5,800,2,1397
5,1600,2,2183
5,3200,2,3432
5,6400,2,5065
5,12800,2,7133
6,1,2,34
6,50,2,262
6,100,2,439
6,200,2,713
6,400,2,1126
6,800,2,1629
6,1600,2,2360
6,3200,2,3619
6,6400,2,5403
6,12800,2,7802
7,1,2,30
7,50,2,322
7,100,2,481
7,200,2,741
7,400,2,1278
7,800,2,1783
7,1600,2,2653
7,3200,2,4188
7,6400,2,6277
7,12800,2,8901
8,1,2,30
8,50,2,340
8,100,2,493
8,200,2,795
8,400,2,1329
8,800,2,2114
8,1600,2,3114
8,3200,2,4401
8,6400,2,6530
8,12800,2,9557
9,1,2,31
9,50,2,405
9,100,2,615
9,200,2,928
9,400,2,1656
9,800,2,2314
9,1600,2,3209
9,3200,2,5140
9,6400,2,7206
9,12800,2,11584
10,1,2,54
10,50,2,459
10,100,2,910
10,200,2,1205
10,400,2,1681
10,800,2,2489
10,1600,2,3782
10,3200,2,5529
10,6400,2,8150
10,12800,2,11937
